CVE,funcname,succeed,tp,tn,fp,fn,precision,recall,f1_score,false_positive,false_negative,failed_versions,func_not_found,target,no_sig
CVE-2020-22038,v4l2_decode_init,1,0,1,0,1,0.0000,0.0000,0.0000,4.2,,,,2,
CVE-2020-22039,avi_write_trailer,2,1,1,0,0,1.0000,1.0000,1.0000,,,,,2,
CVE-2020-22041,request_frame,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,4,true
CVE-2020-22042,ffmpeg_cleanup,1,1,0,2,0,0.3333,1.0000,0.5000,,4.3.3;4.4,,,3,
CVE-2020-22043,mpeg_mux_init,0,0,0,0,0,0.0000,0.0000,0.0000,,,4.2;4.3,,2,
CVE-2020-22043,mpeg_mux_end,1,1,0,1,0,0.5000,1.0000,0.6667,,4.3,,,2,
CVE-2020-22044,nut_write_trailer,0,0,0,0,0,0.0000,0.0000,0.0000,,,4.2;4.1.10;4.2.7;4.3,,4,
CVE-2020-22046,ff_ac3_encode_close,1,0,1,0,0,0.0000,0.0000,0.0000,,,4.2;4.1.10;4.3,,4,
CVE-2020-24020,set_input_output_native,1,1,0,0,0,1.0000,1.0000,1.0000,,,,4.4,2,
CVE-2020-24020,dnn_execute_layer_conv2d,0,0,0,0,0,0.0000,0.0000,0.0000,,,4.2.3,,1,
CVE-2020-24020,dnn_execute_layer_depth2space,0,0,0,0,0,0.0000,0.0000,0.0000,,,4.2.3,,1,
CVE-2020-24020,dnn_execute_layer_math_binary,0,0,0,0,0,0.0000,0.0000,0.0000,,,4.2.3,,1,
CVE-2020-24020,dnn_execute_layer_math_unary,0,0,0,0,0,0.0000,0.0000,0.0000,,,4.2.3,,1,
CVE-2020-24020,dnn_execute_layer_maximum,0,0,0,0,0,0.0000,0.0000,0.0000,,,4.2.3,,1,
CVE-2020-24020,dnn_execute_layer_pad,0,0,0,0,0,0.0000,0.0000,0.0000,,,4.2.3,,1,
CVE-2021-38291,av_get_audio_frame_duration2,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2021-38291,av_get_audio_frame_duration,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2022-1475,g729_parse,4,3,1,2,0,0.6000,1.0000,0.7500,,4.4.2;5.1,,,6,
CVE-2020-22020,config_input,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,4,true
CVE-2020-22022,filter_frame,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,4,true
CVE-2020-22023,filter_frame,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,4,true
CVE-2020-22026,filter_frame,0,0,0,0,0,0.0000,0.0000,0.0000,,,4.2;4.1.8;4.2.7;4.3,,4,
CVE-2020-22027,filter_slice,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,4,true
CVE-2020-22030,activate,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,3,true
CVE-2020-22031,config_input,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,4,true
CVE-2020-22034,filter_frame,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,3,true
CVE-2020-22034,config_input,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,3,true
CVE-2020-22035,config_input,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,3,true
CVE-2020-22035,filter_slice,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,3,true
CVE-2020-22036,config_props,0,0,0,0,0,0.0000,0.0000,0.0000,,,4.2;4.1.8;4.2.7;4.3,,4,
CVE-2020-22048,filter_frame,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,4,true
CVE-2020-23906,read_packet,3,0,3,0,1,0.0000,0.0000,0.0000,4.2,,,,4,
CVE-2020-35965,decode_frame,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,5,true
