CVE,funcname,succeed,tp,tn,fp,fn,precision,recall,f1_score,false_positive,false_negative,failed_versions,func_not_found,target,no_sig
CVE-2016-2176,X509_NAME_oneline,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2016-2177,ssl3_get_client_hello,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2016-2177,ssl_get_prev_session,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2016-2177,ssl_check_for_safari,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2016-2177,ssl_scan_clienthello_tlsext,4,2,2,0,0,1.0000,1.0000,1.0000,,,OpenSSL_1_0_1t;OpenSSL_1_0_1u,,6,
CVE-2016-2177,ssl_scan_clienthello_custom_tlsext,4,2,2,0,0,1.0000,1.0000,1.0000,,,OpenSSL_1_0_1t;OpenSSL_1_0_1u,,6,
CVE-2016-2177,ssl_scan_serverhello_tlsext,4,2,2,0,0,1.0000,1.0000,1.0000,,,OpenSSL_1_0_1t;OpenSSL_1_0_1u,,6,
CVE-2016-2177,tls1_process_ticket,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2016-6304,ssl_parse_clienthello_tlsext,4,3,1,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2016-6306,ssl3_get_server_certificate,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2016-6306,ssl3_get_certificate_request,4,3,1,1,0,0.7500,1.0000,0.8571,,OpenSSL_1_0_2j,,,5,
CVE-2016-6306,ssl3_get_client_certificate,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2016-7052,get_crl_sk,1,1,0,0,0,1.0000,1.0000,1.0000,,,,,1,
CVE-2018-0737,rsa_builtin_keygen,4,3,1,1,0,0.7500,1.0000,0.8571,,OpenSSL_1_0_2p,,,5,
CVE-2018-0732,generate_key,4,3,1,0,0,1.0000,1.0000,1.0000,,,,OpenSSL_1_1_0i;OpenSSL_1_1_1,6,
CVE-2019-1559,dtls1_read_bytes,1,0,1,0,0,0.0000,0.0000,0.0000,,,OpenSSL_1_0_2q;OpenSSL_1_0_2p;OpenSSL_1_0_2o;OpenSSL_1_1_1c,OpenSSL_1_1_0k,6,
CVE-2019-1559,ssl3_read_bytes,1,0,1,0,0,0.0000,0.0000,0.0000,,,OpenSSL_1_0_2q;OpenSSL_1_0_2p;OpenSSL_1_0_2o;OpenSSL_1_1_1c,,5,
CVE-2019-1559,ssl3_send_alert,2,0,2,0,3,0.0000,0.0000,0.0000,OpenSSL_1_0_2q;OpenSSL_1_0_2p;OpenSSL_1_0_2o,,,,5,
CVE-2019-1543,chacha20_poly1305_ctrl,3,3,0,0,0,1.0000,1.0000,1.0000,,,OpenSSL_1_1_0k;OpenSSL_1_1_1c,OpenSSL_1_0_2s,6,
CVE-2019-1563,cms_RecipientInfo_ktri_decrypt,0,0,0,0,0,0.0000,0.0000,0.0000,,,OpenSSL_1_1_0k;OpenSSL_1_1_1c;OpenSSL_1_0_2s;OpenSSL_1_0_2u;OpenSSL_1_1_1e;OpenSSL_1_1_1f,,6,
CVE-2019-1563,CMS_decrypt,3,0,3,0,3,0.0000,0.0000,0.0000,OpenSSL_1_1_0k;OpenSSL_1_1_1c;OpenSSL_1_0_2s,,,,6,
CVE-2019-1563,pkcs7_decrypt_rinfo,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2019-1563,PKCS7_dataDecode,3,0,3,0,0,0.0000,0.0000,0.0000,,,OpenSSL_1_1_0k;OpenSSL_1_1_1c;OpenSSL_1_0_2s,,6,
CVE-2020-1967,tls1_check_sig_alg,3,3,0,3,0,0.5000,1.0000,0.6667,,openssl-3.0.0-alpha2;openssl-3.0.0-alpha3;openssl-3.0.0-alpha4,,,6,
CVE-2021-23840,evp_EncryptDecryptUpdate,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2021-23840,EVP_DecryptUpdate,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2021-4044,ssl_verify_cert_chain,5,3,2,0,0,1.0000,1.0000,1.0000,,,,,5,
CVE-2021-4044,tls_post_process_server_certificate,0,0,0,0,0,0.0000,0.0000,0.0000,,,openssl-3.0.0;OpenSSL_1_0_1u;OpenSSL_1_0_1t;OpenSSL_1_1_1n;openssl-3.0.2;openssl-3.0.3,,6,
CVE-2022-1473,OPENSSL_LH_flush,2,0,2,0,0,0.0000,0.0000,0.0000,,,openssl-3.0.2;openssl-3.0.1;openssl-3.0.0,OpenSSL_1_1_1o,6,
CVE-2022-1343,ocsp_verify_signer,0,0,0,0,0,0.0000,0.0000,0.0000,,,openssl-3.0.2;openssl-3.0.1;openssl-3.0.0;openssl-3.0.4;openssl-3.0.5,OpenSSL_1_1_1p,6,
CVE-2022-2274,ossl_rsaz_mod_exp_avx512_x2,1,0,1,0,0,0.0000,0.0000,0.0000,,,openssl-3.0.4,OpenSSL_1_1_1q;OpenSSL_1_1_1r,4,
CVE-2022-3358,evp_md_init_internal,5,3,2,0,0,1.0000,1.0000,1.0000,,,,OpenSSL_1_1_1r,6,
CVE-2022-3358,evp_cipher_init_internal,5,3,2,0,0,1.0000,1.0000,1.0000,,,,,5,
CVE-2022-3602,ossl_punycode_decode,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2022-3786,ossl_punycode_decode,0,0,0,0,0,0.0000,0.0000,0.0000,,,openssl-3.0.6;openssl-3.0.5;openssl-3.0.4;openssl-3.1.0-alpha1;openssl-3.1.0-beta1;openssl-3.0.8,,6,
CVE-2022-3786,ossl_a2ulabel,4,3,1,2,0,0.6000,1.0000,0.7500,,openssl-3.1.0-alpha1;openssl-3.1.0-beta1,,,6,
CVE-2022-3996,ossl_policy_cache_set_mapping,5,3,2,0,0,1.0000,1.0000,1.0000,,,,OpenSSL_1_1_1t,6,
CVE-2022-4203,nc_match,3,0,3,0,3,0.0000,0.0000,0.0000,openssl-3.0.7;openssl-3.0.6;openssl-3.0.5,,,,6,
CVE-2023-0215,BIO_new_NDEF,4,3,1,2,0,0.6000,1.0000,0.7500,,OpenSSL_1_1_1t;openssl-3.1.0,,,6,
CVE-2023-0216,ossl_pkcs7_resolve_libctx,2,0,2,0,0,0.0000,0.0000,0.0000,,,openssl-3.0.7;openssl-3.0.6;openssl-3.0.5,OpenSSL_1_1_1t,6,
CVE-2023-0401,pkcs7_bio_add_digest,5,3,2,0,0,1.0000,1.0000,1.0000,,,OpenSSL_1_1_1t,,6,
CVE-2023-0401,PKCS7_dataDecode,5,3,2,0,0,1.0000,1.0000,1.0000,,,,,5,
CVE-2023-2650,OBJ_obj2txt,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2023-2975,siv_cipher,2,0,2,0,3,0.0000,0.0000,0.0000,openssl-3.1.1;openssl-3.0.9;openssl-3.1.0,,,OpenSSL_1_1_1v,6,
CVE-2023-5363,evp_cipher_init_internal,3,3,0,3,0,0.5000,1.0000,0.6667,,openssl-3.2.0-beta1;openssl-3.2.0;openssl-3.0.13,,,6,
CVE-2023-5678,ossl_dh_compute_key,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2023-5678,generate_key,3,0,3,0,3,0.0000,0.0000,0.0000,openssl-3.0.12;openssl-3.1.4;openssl-3.1.3,,,,6,
CVE-2024-0727,pkcs12_gen_mac,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2024-0727,newpass_p12,3,0,3,0,3,0.0000,0.0000,0.0000,openssl-3.2.0;openssl-3.0.12;openssl-3.1.4,,,,6,
CVE-2024-0727,SMIME_write_PKCS7,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
