CVE,funcname,succeed,false_positive,false_negative,failed_versions,func_not_found,targets,no_sig
CVE-2021-20313,sRGBTransformImage,1,7.0.10-62,,7.0.10-61;7.0.10-60;7.0.11-3;7.0.11-4,,6,
CVE-2021-20313,TransformsRGBImage,3,7.0.10-62;7.0.10-61;7.0.10-60,,,,6,
CVE-2021-20313,WriteTHUMBNAILImage,6,,,,,6,
CVE-2021-20309,WaveImage,6,,,,,6,
CVE-2021-20310,ConvertXYZToJzazbz,3,7.0.10-62;7.0.10-61;7.0.10-60,,,,6,
CVE-2021-3574,ReadTIFFImage,1,,7.0.11-8;7.0.11-9;7.0.11-10,,,4,
CVE-2021-3610,ReadTIFFImage,3,,,7.0.11-14;7.1.0-0;7.1.0-1,,6,
CVE-2023-34153,ReadVIDEOImage,0,,,,,6,true
CVE-2023-34153,IsVIDEO,0,,,,,6,true
CVE-2023-3195,ReadTIFFImage,0,,,7.1.1-0;7.1.1-1;7.1.1-2;7.1.1-3;7.1.1-4,,5,
CVE-2021-3962,ReadDCMImage,0,,,7.1.0-14;7.1.0-15;7.1.0-16;7.1.0-17,,4,
CVE-2022-0284,WritePICONImage,3,,,7.1.0-19;7.1.0-18;7.1.0-17,,6,
CVE-2022-32545,ReadPSDChannelPixels,0,,,7.1.0-27;7.1.0-26;7.1.0-25;7.1.0-28;7.1.0-29;7.1.0-30,,6,
CVE-2022-1115,ReadTIFFImage,6,,,,,6,
CVE-2022-32546,ReadPCLImage,6,,,,,6,
CVE-2022-28463,ReadCINImage,4,,,,,4,
CVE-2022-32547,GetEXIFProperty,3,7.1.0-29;7.1.0-28;7.1.0-27,,,,6,
CVE-2022-3213,ReadTIFFImage,6,,,,,6,
CVE-2023-1289,DrawPrimitive,0,7.1.0-62;7.1.0-61;7.1.0-60,,7.1.1-0;7.1.1-1;7.1.1-2,,6,
CVE-2023-1906,ReadTIFFImage,1,,7.1.1-6;7.1.1-7;7.1.1-8,,,4,
CVE-2023-34151,AnnotateImage,3,,7.1.1-12,7.1.1-11;7.1.1-13,,6,
CVE-2023-34151,FormatMagickCaption,3,7.1.1-10,,7.1.1-12;7.1.1-13,,6,
CVE-2023-34151,RenderMVGContent,0,,,7.1.1-10;7.1.1-1;7.1.1-0;7.1.1-11;7.1.1-12;7.1.1-13,,6,
CVE-2023-34151,ParseMetaGeometry,5,7.1.1-10,,,,6,
CVE-2023-34151,ShearRotateImage,5,7.1.1-10,,,,6,
CVE-2023-34151,ShadowImage,5,7.1.1-10,,,,6,
CVE-2023-34151,ReadCAPTIONImage,5,7.1.1-10,,,,6,
CVE-2023-34151,ReadLABELImage,2,7.1.1-10,7.1.1-11;7.1.1-12;7.1.1-13,,,6,
CVE-2023-34151,ReadPCLImage,2,7.1.1-10,,7.1.1-11;7.1.1-12;7.1.1-13,,6,
CVE-2023-34151,WritePDFImage,5,7.1.1-10,,,,6,
CVE-2023-34151,WritePSImage,5,7.1.1-10,,,,6,
CVE-2023-34151,WritePS2Image,5,7.1.1-10,,,,6,
CVE-2023-34151,WritePS3Image,5,7.1.1-10,,,,6,
CVE-2023-34151,SVGStartElement,5,7.1.1-10,,,,6,
CVE-2023-34152,OpenBlob,0,,,,,6,true
CVE-2023-3428,ReadTIFFImage,2,,,7.1.1-1;7.1.1-13;7.1.1-14;7.1.1-15,,6,
CVE-2023-5341,ReadBMPImage,5,7.1.1-19,,,,6,
CVE-2023-34474,ReadTIM2ImageData,3,,7.1.1-10;7.1.1-11;7.1.1-12,,,6,
CVE-2023-34474,ReplaceXmpValue,3,,7.1.1-10;7.1.1-11;7.1.1-12,,,6,
CVE-2023-34475,ReadTIM2ImageData,3,,7.1.1-10;7.1.1-11;7.1.1-12,,,6,
CVE-2023-34475,ReplaceXmpValue,3,,7.1.1-10;7.1.1-11;7.1.1-12,,,6,
