cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2017-15032,0,4,0,0,0,0,,7.0.7-3;7.0.7-2;7.0.7-5;7.0.7-4,,
CVE-2017-15033,0,4,0,0,0,0,,7.0.7-3;7.0.7-2;7.0.7-5;7.0.7-4,,
CVE-2019-12974,0,4,0,0,0,0,,7.0.8-34;7.0.8-37;7.0.8-36;7.0.8-35,,
CVE-2019-12979,0,4,0,0,0,0,,7.0.8-34;7.0.8-37;7.0.8-36;7.0.8-35,,
CVE-2019-10131,0,0,0,0,0,0,,,,
CVE-2018-16643,0,4,0,0,0,0,,7.0.8-7;7.0.8-8;7.0.8-4;7.0.8-6,,
CVE-2018-16644,0,4,0,0,0,0,,7.0.8-14;7.0.8-13;7.0.8-12;7.0.8-11,,
CVE-2018-16645,0,4,0,0,0,0,,7.0.8-14;7.0.8-13;7.0.8-12;7.0.8-11,,
CVE-2018-20467,0,6,0,0,0,0,,7.1.0-2;7.1.0-1;7.0.8-14;7.0.8-15;7.0.8-13;7.1.0-0,,
CVE-2019-12978,0,4,0,0,0,0,,7.0.8-34;7.0.8-37;7.0.8-36;7.0.8-35,,
CVE-2019-7175,3,6,0,3,0,3,,,,7.1.0-0;7.1.0-2;7.1.0-1
CVE-2019-7395,0,6,0,0,0,0,,7.0.8-22;7.1.0-2;7.1.0-1;7.0.8-24;7.0.8-23;7.1.0-0,,
CVE-2019-7396,0,6,0,0,0,0,,7.0.8-22;7.1.0-2;7.1.0-1;7.0.8-24;7.0.8-23;7.1.0-0,,
CVE-2019-7398,0,6,0,0,0,0,,7.0.8-22;7.1.0-2;7.1.0-1;7.0.8-24;7.0.8-23;7.1.0-0,,
CVE-2019-11470,0,3,0,0,0,0,,7.0.8-29;7.0.8-28;7.0.8-30,,
CVE-2019-10714,0,6,0,0,0,0,,7.0.8-29;7.1.0-2;7.0.8-31;7.1.0-1;7.0.8-30;7.1.0-0,,
CVE-2019-12975,0,4,0,0,0,0,,7.0.8-34;7.0.8-37;7.0.8-36;7.0.8-35,,
CVE-2019-12976,0,4,0,0,0,0,,7.0.8-34;7.0.8-37;7.0.8-36;7.0.8-35,,
CVE-2019-10649,0,3,0,0,0,0,,7.0.8-38;7.0.8-37;7.0.8-36,,
CVE-2019-10650,0,0,0,0,0,0,,,,
CVE-2019-16711,0,4,0,0,0,3,,7.0.8-43;7.0.8-42;7.0.8-41;7.0.8-40,,7.0.8-43;7.0.8-42;7.0.8-41
CVE-2019-11472,0,3,0,0,0,0,,7.0.8-43;7.0.8-42;7.0.8-41,,
CVE-2019-14981,3,6,0,3,0,3,,,,7.1.0-0;7.1.0-2;7.1.0-1
CVE-2019-15139,0,3,0,0,0,0,,7.0.8-43;7.0.8-42;7.0.8-44,,
CVE-2019-19949,0,0,0,0,0,0,,,,
CVE-2019-13133,0,6,0,0,0,0,,7.1.0-2;7.1.0-1;7.0.8-48;7.0.8-49;7.0.8-47;7.1.0-0,,
CVE-2019-13134,0,6,0,0,0,0,,7.1.0-2;7.1.0-1;7.0.8-48;7.0.8-49;7.0.8-47;7.1.0-0,,
CVE-2019-13136,0,0,0,0,0,0,,,,
CVE-2019-13137,0,6,0,0,0,0,,7.1.0-2;7.1.0-1;7.0.8-48;7.0.8-49;7.0.8-47;7.1.0-0,,
CVE-2019-13307,0,3,0,0,0,3,,,,7.0.8-53;7.0.8-51;7.0.8-50
CVE-2019-17541,0,0,0,0,0,0,,,,
CVE-2019-17547,0,6,0,0,0,0,,7.1.0-2;7.1.0-1;7.0.8-59;7.0.8-61;7.0.8-60;7.1.0-0,,
CVE-2020-27750,3,6,0,3,0,3,,,,7.1.0-0;7.1.0-2;7.1.0-1
CVE-2020-27762,0,6,0,0,0,0,,7.0.8-66;7.1.0-2;7.0.8-67;7.1.0-1;7.0.8-65;7.1.0-0,,
CVE-2020-25664,0,6,0,0,0,0,,7.0.8-68;7.0.8-66;7.0.8-67;7.0.9-0;7.0.9-1;7.0.8-65,,
CVE-2020-25665,0,6,0,0,0,0,,7.0.8-66;7.1.0-2;7.0.8-67;7.1.0-1;7.0.8-65;7.1.0-0,,
CVE-2020-25674,0,6,0,0,0,0,,7.0.8-66;7.1.0-2;7.0.8-67;7.1.0-1;7.0.8-65;7.1.0-0,,
CVE-2020-27760,0,6,0,0,0,0,,7.0.8-66;7.1.0-2;7.0.8-67;7.1.0-1;7.0.8-65;7.1.0-0,,
CVE-2020-27763,0,6,0,0,0,0,,7.0.8-66;7.1.0-2;7.0.8-67;7.1.0-1;7.0.8-65;7.1.0-0,,
CVE-2020-27758,0,6,0,0,0,0,,7.0.8-66;7.1.0-2;7.0.8-67;7.1.0-1;7.0.8-65;7.1.0-0,,
CVE-2020-27770,0,6,0,0,0,0,,7.0.8-66;7.1.0-2;7.0.8-67;7.1.0-1;7.0.8-65;7.1.0-0,,
CVE-2020-25663,3,6,0,3,0,3,,,,7.1.0-0;7.1.0-2;7.1.0-1
CVE-2020-27756,0,6,0,0,0,0,,7.0.8-68;7.0.8-66;7.1.0-2;7.0.8-67;7.1.0-1;7.1.0-0,,
CVE-2020-27751,0,6,0,0,0,0,,7.0.8-68;7.0.8-66;7.1.0-2;7.0.8-67;7.1.0-1;7.1.0-0,,
