cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,too_much_diff,cant_tell,no_diff,func_not_found,targets
CVE-2022-23308,xmlValidCtxtNormalizeAttributeValue__internal_alias,0,0,0,,,,2.9.11;2.9.12;2.9.10;2.9.13;2.9.14,,,2.10.0,6
CVE-2022-23308,xmlValidNormalizeAttributeValue__internal_alias,0,0,0,,,,2.9.11;2.9.12;2.9.10;2.9.13;2.9.14,,,2.10.0,6
CVE-2022-23308,xmlIsStreaming,0,0,0,,,2.9.11;2.9.12;2.9.10;2.9.13;2.9.14;2.10.0,,,,,6
CVE-2022-23308,xmlValidNormalizeString,0,0,0,,,2.9.11;2.9.12;2.9.10;2.9.13;2.9.14;2.10.0,,,,,6
CVE-2022-29824,xmlBufAdd,0,0,0,,,,,2.9.13;2.9.11;2.9.12;2.10.0;2.10.1;2.10.2,,,6
CVE-2022-29824,xmlBufferCreateSize__internal_alias,3,0,3,,,,,,,2.10.0;2.10.1;2.10.2,6
CVE-2022-29824,xmlBufferCreateStatic__internal_alias,0,0,0,,,,,2.9.13;2.9.11;2.9.12,,2.10.0;2.10.1;2.10.2,6
CVE-2022-29824,xmlBufferResize__internal_alias,3,0,3,,,,,,2.9.13;2.9.11;2.9.12,2.10.0;2.10.1;2.10.2,6
CVE-2022-29824,xmlBufCreateSize,0,0,0,,,,,2.9.13;2.9.11;2.9.12;2.10.0;2.10.1;2.10.2,,,6
CVE-2022-29824,xmlBufGrowInternal,0,0,0,,,,2.9.13;2.9.11;2.9.12,,,2.10.0;2.10.1;2.10.2,6
CVE-2022-29824,xmlBufResize,0,0,0,,,,2.9.13;2.9.11;2.9.12;2.10.0;2.10.1;2.10.2,,,,6
CVE-2022-29824,xmlBufCCat,0,0,0,,,,,2.9.13;2.9.11;2.9.12;2.10.0;2.10.1;2.10.2,,,6
CVE-2022-29824,xmlBufferGrow__internal_alias,0,0,0,,,,,2.9.13;2.9.11;2.9.12,,2.10.0;2.10.1;2.10.2,6
CVE-2022-29824,xmlBufferCCat__internal_alias,0,0,0,,,,,2.9.13;2.9.11;2.9.12,,2.10.0;2.10.1;2.10.2,6
CVE-2022-40303,xmlParseCDSect,0,0,0,,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseStringName,0,0,0,,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseEntityValue,0,0,0,,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseNCNameComplex,0,0,0,,,,,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,6
CVE-2022-40303,xmlParseNameComplex,0,0,0,,,,,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,6
CVE-2022-40303,xmlParseSystemLiteral,0,0,0,,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlFatalErr,0,0,0,,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseAttValueInternal,0,0,0,,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseAttValueComplex,0,0,0,,,,,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,6
CVE-2022-40303,xmlParseNCName,0,0,0,,,,2.10.2;2.10.1;2.10.0;2.10.4,2.11.0;2.11.1,,,6
CVE-2022-40303,xmlParseName,0,0,0,,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParsePI,0,0,0,,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseNmtoken,0,0,0,,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParsePubidLiteral,0,0,0,,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseComment,0,0,0,,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseCommentComplex,0,0,0,,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40304,xmlFreeEntity,0,0,0,,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40304,xmlCreateEntity,0,0,0,,,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,,,6
CVE-2023-28484,xmlSchemaFixupComplexType,0,0,0,,,,2.10.3;2.10.2;2.10.1;2.11.0;2.11.1;2.11.2,,,,6
