cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,too_much_diff,cant_tell,no_diff,func_not_found,targets
CVE-2018-10373,concat_filename,4,3,1,,,,,,,,4
CVE-2018-8945,_bfd_elf_parse_attributes,4,3,1,,,,,,,,4
CVE-2018-8945,bfd_elf_get_str_section,4,3,1,,,,,,,,4
CVE-2018-17360,pe_print_edata,4,3,1,,,,,,,,4
CVE-2018-18605,_bfd_add_merge_section,4,3,1,,,,,,,,4
CVE-2018-18606,_bfd_add_merge_section,4,3,1,,,,,,,,4
CVE-2018-18607,elf_link_input_bfd,4,3,1,,,,,,,,4
CVE-2018-19932,rewrite_elf_program_header,3,0,3,,2.32;2.33.1;2.34,,,,,,6
CVE-2018-20002,_bfd_generic_read_minisymbols,4,3,1,,,,,,,,4
CVE-2018-20002,display_rel_file,4,3,1,,,,,,,,4
CVE-2018-1000876,_bfd_elf_get_dynamic_reloc_upper_bound,6,3,3,,,,,,,,6
CVE-2018-1000876,_bfd_elf_get_dynamic_symtab_upper_bound,6,3,3,,,,,,,,6
CVE-2018-1000876,_bfd_elf_get_symtab_upper_bound,6,3,3,,,,,,,,6
CVE-2018-20651,elf_link_add_object_symbols,4,3,1,,,,,,,,4
CVE-2018-20671,load_specific_debug_section,6,3,3,,,,,,,,6
CVE-2019-17451,_bfd_dwarf2_slurp_debug_info,0,0,0,,,,,2.32;2.33.1;2.34;2.35,,,4
CVE-2020-19724,display_rel_file,6,3,3,,,,,,,,6
CVE-2020-16590,get_num_dynamic_syms,0,0,0,,,,,2.35;2.35.1;2.35.2;2.36.1,,,4
CVE-2020-16591,get_num_dynamic_syms,3,3,0,2.35,,,,,,,4
CVE-2020-16593,scan_unit_for_symbols,1,0,1,,2.35.1;2.35.2;2.36.1,,,,,,4
CVE-2020-16599,_bfd_elf_get_symbol_version_string,3,3,0,2.35,,,,,,,4
CVE-2020-35448,_bfd_elf_slurp_secondary_reloc_section,3,2,1,,,,,,,,3
CVE-2021-20294,print_dynamic_symbol,5,3,2,,,,,,,,5
CVE-2021-45078,stab_xcoff_builtin_type,5,2,3,,,,,,,2.40,6
CVE-2022-38533,is_contained_by,0,0,0,,,2.39;2.38;2.37;2.40;2.41;2.42,,,,,6
CVE-2022-38533,is_note,0,0,0,,,2.39;2.38;2.37;2.40;2.41;2.42,,,,,6
CVE-2022-38533,rewrite_elf_program_header,5,2,3,,,,,,,2.40,6
