cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,too_much_diff,cant_tell,no_diff,func_not_found,targets
CVE-2018-20467,ReadBMPImage,0,0,0,,,,7.0.8-15;7.1.0-0;7.1.0-1;7.1.0-2,,,7.0.8-14;7.0.8-13,6
CVE-2019-12978,ReadCAPTIONImage,0,0,0,,,,7.0.8-34;7.0.8-35;7.0.8-36;7.0.8-37,,,,4
CVE-2019-7175,DecodeImage,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,7.0.8-24;7.0.8-23;7.0.8-22;7.1.0-0;7.1.0-1;7.1.0-2,,6
CVE-2019-7395,WritePSDChannel,0,0,0,,,,7.0.8-24;7.0.8-23;7.0.8-22;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2019-7396,ReadSIXELImage,0,0,0,,,,7.0.8-24;7.0.8-23;7.0.8-22;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2019-7398,WriteDIBImage,0,0,0,,,,7.0.8-24;7.0.8-23;7.0.8-22;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2019-11470,ReadCINImage,0,0,0,,,,7.0.8-28;7.0.8-29;7.0.8-30,,,,3
CVE-2019-10714,LocaleLowercase,0,0,0,,,,,7.0.8-31;7.0.8-30;7.0.8-29;7.1.0-0;7.1.0-1;7.1.0-2,,,6
CVE-2019-10714,LocaleUppercase,0,0,0,,,,,7.0.8-31;7.0.8-30;7.0.8-29;7.1.0-0;7.1.0-1;7.1.0-2,,,6
CVE-2019-12975,WriteDPXImage,0,0,0,,,,7.0.8-34;7.0.8-35;7.0.8-36;7.0.8-37,,,,4
CVE-2019-12976,ReadPCLImage,0,0,0,,,,7.0.8-34;7.0.8-35;7.0.8-36;7.0.8-37,,,,4
CVE-2019-10649,SVGEndElement,0,0,0,,,,7.0.8-36;7.0.8-37;7.0.8-38,,,,3
CVE-2019-10650,WriteTIFFImage,0,0,0,,,,,,,7.0.8-36;7.0.8-37;7.0.8-38,3
CVE-2019-16711,WritePS2Image,0,0,0,,,,7.0.8-40;7.0.8-41;7.0.8-42;7.0.8-43,,,,4
CVE-2019-16711,Huffman2DEncodeImage,1,0,1,,7.0.8-41;7.0.8-42;7.0.8-43,,,,7.0.8-40;7.0.8-41;7.0.8-42;7.0.8-43,,4
CVE-2019-11472,ReadXWDImage,0,0,0,,,,7.0.8-41;7.0.8-42;7.0.8-43,,,,3
CVE-2019-14981,MeanShiftImage,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,7.0.8-40;7.0.8-38;7.0.8-39;7.1.0-0;7.1.0-1;7.1.0-2,,6
CVE-2019-15139,RegisterXWDImage,0,0,0,,,,,7.0.8-42;7.0.8-43;7.0.8-44,,,3
CVE-2019-15139,ReadXWDImage,0,0,0,,,,7.0.8-42;7.0.8-43;7.0.8-44,,,,3
CVE-2019-19949,Magick_png_write_raw_profile,0,0,0,,,,,,,7.0.8-42;7.0.8-41;7.0.8-40;7.0.8-43;7.0.8-44;7.0.8-45,6
CVE-2019-13133,ReadBMPImage,0,0,0,,,,7.0.8-49;7.0.8-48;7.0.8-47;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2019-13133,ReadVIFFImage,0,0,0,,,,7.0.8-49;7.0.8-48;7.0.8-47;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2019-13134,ReadBMPImage,0,0,0,,,,7.0.8-49;7.0.8-48;7.0.8-47;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2019-13134,ReadVIFFImage,0,0,0,,,,7.0.8-49;7.0.8-48;7.0.8-47;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2019-13136,TIFFSeekCustomStream,0,0,0,,,,,,,7.0.8-49;7.0.8-48;7.0.8-47;7.1.0-0;7.1.0-1;7.1.0-2,6
CVE-2019-13137,ReadPSImage,0,0,0,,,,7.1.0-0;7.1.0-1;7.1.0-2,,,7.0.8-49;7.0.8-48;7.0.8-47,6
CVE-2019-13307,AcquirePixelThreadSet,0,0,0,,7.0.8-50;7.0.8-51;7.0.8-53,,,,7.0.8-50;7.0.8-51;7.0.8-53,,3
CVE-2019-17541,ReadICCProfile,0,0,0,,,,,,,7.0.8-54;7.0.8-53;7.0.8-52;7.1.0-0;7.1.0-1;7.1.0-2,6
