Version,Release Time
3.1,2016-06-27 03:28
3.1.1,2016-07-01 04:29
3.1.2,2016-08-09 03:22
3.1.3,2016-08-26 14:03
3.1.4,2016-10-01 04:39
3.1.5,2016-10-22 03:14
3.1.6,2016-12-06 00:27
3.1.7,2017-02-09 16:14
3.1.8,2017-05-17 05:43
3.1.9,2017-06-22 05:06
3.1.10,2017-08-04 17:07
3.1.11,2017-09-25 22:41
3.2,2016-10-27 19:27
3.2.1,2016-11-26 05:10
3.2.2,2016-12-06 01:57
3.2.3,2017-02-06 19:55
3.2.4,2017-02-10 15:39
3.2.5,2017-05-16 05:38
3.2.6,2017-06-18 03:31
3.2.7,2017-07-30 18:10
3.2.8,2017-09-17 16:55
3.2.9,2017-10-27 00:01
3.2.10,2018-01-13 16:53
3.2.11,2018-07-09 21:55
3.2.12,2018-07-19 00:45
3.2.13,2019-01-15 14:15
3.2.14,2019-05-14 02:46
3.2.15,2020-07-02 20:22
3.2.16,2021-10-16 21:49
3.2.17,2022-04-23 15:35
3.2.18,2022-05-15 00:22
3.2.19,2022-10-28 20:47
3.3,2017-04-13 14:58
3.3.1,2017-05-15 00:20
3.3.2,2017-06-07 05:13
3.3.3,2017-07-29 21:47
3.3.4,2017-09-12 04:45
3.3.5,2017-10-26 22:25
3.3.6,2018-01-01 00:51
3.3.7,2018-04-14 03:25
3.3.8,2018-07-17 12:45
3.3.9,2018-11-18 03:13
3.4,2017-10-15 20:35
3.4.1,2017-12-11 00:20
3.4.2,2018-02-12 03:20
3.4.3,2018-07-08 14:02
3.4.4,2018-07-18 17:45
3.4.5,2018-11-01 21:04
3.4.6,2019-03-29 03:04
3.4.7,2019-12-02 16:43
3.4.8,2020-07-04 01:55
3.4.9,2021-10-12 00:19
3.4.10,2022-04-22 21:50
3.4.11,2022-05-14 03:19
3.4.12,2022-10-27 23:21
3.4.13,2023-06-12 12:32
3.4.14,2025-03-13 00:06
4.0,2018-04-20 13:18
4.0.1,2018-06-16 04:35
4.0.2,2018-07-18 17:17
4.0.3,2018-11-03 02:52
4.0.4,2019-03-28 02:52
4.0.5,2019-11-22 23:46
4.0.6,2020-07-03 18:11
4.1,2018-11-06 02:11
4.1.1,2019-02-09 23:38
4.1.2,2019-03-23 02:03
4.1.3,2019-04-01 14:59
4.1.4,2019-07-08 21:22
4.1.5,2020-01-07 19:21
4.1.6,2020-07-05 01:36
4.1.7,2021-09-11 21:48
4.1.8,2021-10-17 20:50
4.1.9,2022-04-17 17:19
4.1.10,2022-10-22 00:10
4.1.11,2023-06-07 17:38
4.2,2019-08-06 00:40
4.2.1,2019-09-07 01:36
4.2.2,2019-12-31 23:59
4.2.3,2020-05-21 20:15
4.2.4,2020-07-09 12:18
4.2.5,2021-10-16 01:06
4.2.6,2022-04-16 14:13
4.2.7,2022-05-14 02:07
4.2.8,2022-10-11 21:41
4.2.9,2023-04-21 19:24
4.2.10,2024-08-01 03:11
4.2.11,2025-05-18 00:19
4.3,2020-06-15 21:54
4.3.1,2020-07-11 13:40
4.3.2,2021-02-20 22:28
4.3.3,2021-10-21 20:07
4.3.4,2022-04-16 11:21
4.3.5,2022-10-10 23:06
4.3.6,2023-04-16 11:28
4.3.7,2024-06-16 00:00
4.3.8,2024-08-06 01:29
4.3.9,2025-03-12 13:49
4.4,2021-04-09 00:29
4.4.1,2021-10-24 23:47
4.4.2,2022-04-14 23:14
4.4.3,2022-10-09 22:05
4.4.4,2023-04-12 21:53
4.4.5,2024-07-29 01:55
4.4.6,2025-05-17 16:53
5.0,2022-01-14 20:46
5.0.1,2022-04-04 17:40
5.0.2,2022-11-04 22:26
5.0.3,2023-04-02 18:22
5.1,2022-07-22 20:59
5.1.1,2022-08-31 21:58
5.1.2,2022-09-25 12:46
5.1.3,2023-03-26 17:21
5.1.4,2023-11-10 01:39
5.1.5,2024-06-15 02:08
5.1.6,2024-08-05 02:23
6.0,2023-02-27 22:44
6.0.1,2023-11-10 02:30
6.1,2023-11-11 02:25
6.1.1,2023-12-31 02:07
6.1.2,2024-08-02 02:23
7.0,2024-04-05 02:23
7.0.1,2024-05-26 03:43
7.0.2,2024-08-03 01:55
7.1,2024-09-30 02:32
7.1.1,2025-03-03 02:22
