cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,no_diff,func_not_found,targets
CVE-2023-34475,ReadTIM2ImageData,0,0,0,,,,,7.1.1-1;7.1.1-0;7.1.0-62;7.1.1-10;7.1.1-11;7.1.1-12,6
CVE-2023-34475,ReplaceXmpValue,0,0,0,,7.1.1-10;7.1.1-11;7.1.1-12,,,7.1.1-1;7.1.1-0;7.1.0-62,6
CVE-2023-34151,FormatMagickCaption,3,0,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-34151,ShearRotateImage,3,3,0,7.1.1-10;7.1.1-1;7.1.1-0,,,,,6
CVE-2023-34151,WritePS2Image,3,0,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-34151,WritePS3Image,3,0,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-34151,SVGStartElement,3,3,0,7.1.1-10;7.1.1-1;7.1.1-0,,,,,6
CVE-2023-34151,ReadPCLImage,3,0,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-34151,AnnotateImage,3,0,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-34151,WritePDFImage,3,0,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-34151,ReadLABELImage,3,3,0,7.1.1-10;7.1.1-1;7.1.1-0,,,,,6
CVE-2023-34151,RenderMVGContent,3,0,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-34151,WritePSImage,3,0,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-34151,ShadowImage,3,0,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-34151,ReadCAPTIONImage,3,3,0,7.1.1-10;7.1.1-1;7.1.1-0,,,,,6
CVE-2023-34151,ParseMetaGeometry,3,0,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-34152,OpenBlob,3,0,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-3428,ReadTIFFImage,0,0,0,,,,,7.1.1-11;7.1.1-10;7.1.1-1;7.1.1-13;7.1.1-14;7.1.1-15,6
CVE-2023-5341,ReadBMPImage,3,3,0,7.1.1-19;7.1.1-11;7.1.1-10,,,,,6
