cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,no_diff,func_not_found,targets
CVE-2017-13022,ip_optprint,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13022,ip_printroute,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13023,mobility_opt_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13024,mobility_opt_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13025,mobility_opt_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13026,isis_print_mt_capability_subtlv,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13026,isis_print_mt_port_cap_subtlv,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13027,lldp_mgmt_addr_tlv_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13028,bootp_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-13029,print_ipcp_config_options,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13029,print_bacp_config_options,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13029,print_ccp_config_options,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13029,print_lcp_config_options,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13030,pimv2_addr_print,4,1,3,,4.99.0-bp;4.99-bp,,,,6
CVE-2017-13030,pim_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
