project,cve_id,commit,function,basic_blocks,binary_file
tcpdump,CVE-2017-12899,c6e0531b5def,print_decnet_ctlmsg,73,CVE-2017-12899-patch-c6e0531b5def-tcpdump
tcpdump,CVE-2017-12899,c6e0531b5def,decnet_print,67,CVE-2017-12899-patch-c6e0531b5def-tcpdump
tcpdump,CVE-2017-13042,39582c04cc5e,dhcpv6_print,40,CVE-2017-13042-patch-39582c04cc5e-tcpdump
tcpdump,CVE-2017-13725,3c4d7c0ee30a,rt6_print,28,CVE-2017-13725-patch-3c4d7c0ee30a-tcpdump
tcpdump,CVE-2019-15166,0b661e0aa618,lmp_print,466,CVE-2019-15166-patch-0b661e0aa618-tcpdump
tcpdump,CVE-2019-15166,0b661e0aa618,lmp_print_data_link_subobjs,46,CVE-2019-15166-patch-0b661e0aa618-tcpdump
tcpdump,CVE-2017-13035,571a6f33f47e,isis_print_id,17,CVE-2017-13035-patch-571a6f33f47e-tcpdump
tcpdump,CVE-2018-14465,bea2686c296b,rsvp_obj_print,665,CVE-2018-14465-patch-bea2686c296b-tcpdump
tcpdump,CVE-2017-12990,c2ef693866be,ikev1_n_print,153,CVE-2017-12990-patch-c2ef693866be-tcpdump
tcpdump,CVE-2017-12990,c2ef693866be,isakmp_rfc3948_print,28,CVE-2017-12990-patch-c2ef693866be-tcpdump
tcpdump,CVE-2017-12990,c2ef693866be,ikev2_n_print,86,CVE-2017-12990-patch-c2ef693866be-tcpdump
tcpdump,CVE-2017-12990,c2ef693866be,ikev1_nonce_print,31,CVE-2017-12990-patch-c2ef693866be-tcpdump
tcpdump,CVE-2017-12990,c2ef693866be,ikev2_auth_print,35,CVE-2017-12990-patch-c2ef693866be-tcpdump
tcpdump,CVE-2017-12897,1dcd10aceabb,fr_print,86,CVE-2017-12897-patch-1dcd10aceabb-tcpdump
tcpdump,CVE-2017-12897,1dcd10aceabb,handle_ppp,67,CVE-2017-12897-patch-1dcd10aceabb-tcpdump
tcpdump,CVE-2017-12897,1dcd10aceabb,ethertype_print,117,CVE-2017-12897-patch-1dcd10aceabb-tcpdump
tcpdump,CVE-2017-12897,1dcd10aceabb,juniper_atm1_print,21,CVE-2017-12897-patch-1dcd10aceabb-tcpdump
tcpdump,CVE-2017-12897,1dcd10aceabb,gre_print_0,94,CVE-2017-12897-patch-1dcd10aceabb-tcpdump
tcpdump,CVE-2017-12897,1dcd10aceabb,atm_if_print,30,CVE-2017-12897-patch-1dcd10aceabb-tcpdump
tcpdump,CVE-2017-12897,1dcd10aceabb,juniper_atm2_print,29,CVE-2017-12897-patch-1dcd10aceabb-tcpdump
tcpdump,CVE-2017-12897,1dcd10aceabb,null_if_print,27,CVE-2017-12897-patch-1dcd10aceabb-tcpdump
tcpdump,CVE-2017-12897,1dcd10aceabb,llc_print,123,CVE-2017-12897-patch-1dcd10aceabb-tcpdump
tcpdump,CVE-2017-12897,1dcd10aceabb,chdlc_print,44,CVE-2017-12897-patch-1dcd10aceabb-tcpdump
tcpdump,CVE-2017-12897,1dcd10aceabb,juniper_mfr_print,44,CVE-2017-12897-patch-1dcd10aceabb-tcpdump
tcpdump,CVE-2017-12897,1dcd10aceabb,juniper_mlppp_print,37,CVE-2017-12897-patch-1dcd10aceabb-tcpdump
tcpdump,CVE-2017-12897,1dcd10aceabb,juniper_mlfr_print,24,CVE-2017-12897-patch-1dcd10aceabb-tcpdump
tcpdump,CVE-2017-12897,1dcd10aceabb,isoclns_print,58,CVE-2017-12897-patch-1dcd10aceabb-tcpdump
tcpdump,CVE-2017-12897,1dcd10aceabb,mpls_print,67,CVE-2017-12897-patch-1dcd10aceabb-tcpdump
tcpdump,CVE-2017-13004,42073d54c53a,juniper_parse_header,149,CVE-2017-13004-patch-42073d54c53a-tcpdump
tcpdump,CVE-2017-13051,289c67202028,rsvp_obj_print,664,CVE-2017-13051-patch-289c67202028-tcpdump
tcpdump,CVE-2017-12992,e942fb84fbe3,ripng_print,67,CVE-2017-12992-patch-e942fb84fbe3-tcpdump
tcpdump,CVE-2017-12993,b534e3045685,juniper_es_print,34,CVE-2017-12993-patch-b534e3045685-tcpdump
tcpdump,CVE-2017-12993,b534e3045685,juniper_atm1_print,25,CVE-2017-12993-patch-b534e3045685-tcpdump
tcpdump,CVE-2017-12993,b534e3045685,juniper_monitor_print,16,CVE-2017-12993-patch-b534e3045685-tcpdump
tcpdump,CVE-2017-12993,b534e3045685,juniper_services_print,15,CVE-2017-12993-patch-b534e3045685-tcpdump
tcpdump,CVE-2017-12993,b534e3045685,juniper_parse_header,147,CVE-2017-12993-patch-b534e3045685-tcpdump
tcpdump,CVE-2017-12993,b534e3045685,juniper_ggsn_print,24,CVE-2017-12993-patch-b534e3045685-tcpdump
tcpdump,CVE-2017-12993,b534e3045685,juniper_atm2_print,33,CVE-2017-12993-patch-b534e3045685-tcpdump
tcpdump,CVE-2017-12993,b534e3045685,juniper_pppoe_atm_print,15,CVE-2017-12993-patch-b534e3045685-tcpdump
tcpdump,CVE-2017-13016,c177cb3800a9,esis_print,186,CVE-2017-13016-patch-c177cb3800a9-tcpdump
tcpdump,CVE-2018-14880,e01c9bf76740,ospf6_print_lshdr,14,CVE-2018-14880-patch-e01c9bf76740-tcpdump
tcpdump,CVE-2017-13019,4601c685e7fd,pgm_print,384,CVE-2017-13019-patch-4601c685e7fd-tcpdump
tcpdump,CVE-2017-12895,2b62d1dda415,icmp_print,228,CVE-2017-12895-patch-2b62d1dda415-tcpdump
tcpdump,CVE-2017-13027,a77ff09c4656,lldp_mgmt_addr_tlv_print,21,CVE-2017-13027-patch-a77ff09c4656-tcpdump
tcpdump,CVE-2017-13003,a25211918f2e,lmp_print,460,CVE-2017-13003-patch-a25211918f2e-tcpdump
tcpdump,CVE-2017-13050,83c64fce3a52,indent_string,10,CVE-2017-13050-patch-83c64fce3a52-tcpdump
tcpdump,CVE-2017-13050,83c64fce3a52,rpki_rtr_pdu_print,121,CVE-2017-13050-patch-83c64fce3a52-tcpdump
tcpdump,CVE-2017-13052,5d340a5ca6e4,cfm_network_addr_print,23,CVE-2017-13052-patch-5d340a5ca6e4-tcpdump
tcpdump,CVE-2017-13052,5d340a5ca6e4,cfm_print,210,CVE-2017-13052-patch-5d340a5ca6e4-tcpdump
tcpdump,CVE-2017-13043,d515b4b4a300,decode_multicast_vpn,55,CVE-2017-13043-patch-d515b4b4a300-tcpdump
tcpdump,CVE-2018-14463,3de07c772166,vrrp_print,70,CVE-2018-14463-patch-3de07c772166-tcpdump
tcpdump,CVE-2017-13687,a1eefe986065,chdlc_print,44,CVE-2017-13687-patch-a1eefe986065-tcpdump
tcpdump,CVE-2017-13034,da6f1a677bfa,pgm_print,386,CVE-2017-13034-patch-da6f1a677bfa-tcpdump
tcpdump,CVE-2017-13008,5edf405d7ed9,parse_elements,62,CVE-2017-13008-patch-5edf405d7ed9-tcpdump
