CVE,funcname,succeed,false_positive,false_negative,failed_versions,func_not_found,targets
CVE-2022-1434,rc4_hmac_md5_set_ctx_params,0,,,3.0.2;3.0.1;3.0.0;OpenSSL_1_1_1o;3.0.3;OpenSSL_1_1_1p,,6
CVE-2022-1473,OPENSSL_LH_flush,0,,,,3.0.2;3.0.1;3.0.0;OpenSSL_1_1_1o;3.0.3;OpenSSL_1_1_1p,6
CVE-2022-2274,ossl_rsaz_mod_exp_avx512_x2,0,,,,3.0.4;3.0.5;OpenSSL_1_1_1q;OpenSSL_1_1_1r,4
CVE-2022-3358,evp_md_init_internal,0,,,,3.0.5;3.0.4;3.0.3;OpenSSL_1_1_1r;3.0.6;OpenSSL_1_1_1s,6
CVE-2022-3358,evp_cipher_init_internal,0,,,,3.0.5;3.0.4;3.0.3;OpenSSL_1_1_1r;3.0.6;OpenSSL_1_1_1s,6
CVE-2022-3602,ossl_punycode_decode,0,,,,3.0.6;3.0.5;3.0.4;OpenSSL_1_1_1s;3.0.7;alpha1,6
CVE-2022-3786,ossl_punycode_decode,0,,,,3.0.6;3.0.5;3.0.4;OpenSSL_1_1_1s;3.0.7;alpha1,6
CVE-2022-3786,ossl_a2ulabel,0,,,,3.0.6;3.0.5;3.0.4;OpenSSL_1_1_1s;3.0.7;alpha1,6
CVE-2022-3996,ossl_policy_cache_set_mapping,0,,,,3.0.7;3.0.6;3.0.5;alpha1;beta1;3.0.8,6
CVE-2022-4203,nc_match,0,,,3.0.7;3.0.6;3.0.5;3.0.8;OpenSSL_1_1_1t;3.1.0,,6
CVE-2022-4203,do_i2r_name_constraints,0,,,3.0.7;3.0.6;3.0.5;3.0.8;OpenSSL_1_1_1t;3.1.0,,6
CVE-2022-4450,PEM_read_bio_ex,0,,,OpenSSL_1_1_1s;3.0.7;OpenSSL_1_1_1r;3.0.8;OpenSSL_1_1_1t;3.1.0,,6
CVE-2023-0215,ndef_suffix,0,,,,OpenSSL_1_1_1s;3.0.7;OpenSSL_1_1_1r;3.0.8;OpenSSL_1_1_1t;3.1.0,6
CVE-2023-0215,BIO_new_NDEF,0,,,,OpenSSL_1_1_1s;3.0.7;OpenSSL_1_1_1r;3.0.8;OpenSSL_1_1_1t;3.1.0,6
CVE-2023-0216,ossl_pkcs7_resolve_libctx,0,,,3.0.7;3.0.6;3.0.5;3.0.8;OpenSSL_1_1_1t;3.1.0,,6
CVE-2023-0216,pkcs7_get_signer_certs,0,,,3.0.7;3.0.6;3.0.5;3.0.8;OpenSSL_1_1_1t;3.1.0,,6
CVE-2023-0216,PKCS7_add_signature,0,,,3.0.7;3.0.6;3.0.5;3.0.8;OpenSSL_1_1_1t;3.1.0,,6
CVE-2023-0217,ffc_public_validate_test,0,,,3.0.7;3.0.6;3.0.5;3.0.8;OpenSSL_1_1_1t;3.1.0,,6
CVE-2023-0217,ffc_private_validate_test,0,,,3.0.7;3.0.6;3.0.5;3.0.8;OpenSSL_1_1_1t;3.1.0,,6
CVE-2023-0217,ossl_ffc_validate_private_key,0,,,3.0.7;3.0.6;3.0.5;3.0.8;OpenSSL_1_1_1t;3.1.0,,6
