CVE,funcname,succeed,false_positive,false_negative,failed_versions,no_diff,func_not_found,targets
CVE-2023-34151,WritePS3Image,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-34151,SVGStartElement,2,7.1.1-10,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-34151,ReadPCLImage,5,7.1.1-10,,,,,6
CVE-2023-34151,AnnotateImage,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-34151,WritePDFImage,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-34151,ReadLABELImage,5,7.1.1-10,,,,,6
CVE-2023-34151,RenderMVGContent,3,7.1.1-10,7.1.1-12;7.1.1-13,,,,6
CVE-2023-34151,WritePSImage,5,7.1.1-10,,,,,6
CVE-2023-34151,ShadowImage,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-34151,ReadCAPTIONImage,5,7.1.1-10,,,,,6
CVE-2023-34151,ParseMetaGeometry,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-34152,OpenBlob,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-3428,ReadTIFFImage,3,,7.1.1-13;7.1.1-14;7.1.1-15,,,,6
CVE-2023-5341,ReadBMPImage,3,,7.1.1-20;7.1.1-21;7.1.1-22,,,,6
